x, y, y = x^2 + 2x + 1
1,4.0
1.5,6.25
2.0,9.0
2.5,12.25
3.0,16.0
3.5,20.25
4.0,25.0
4.5,30.25
5.0,36.0
5.5,42.25
6.0,49.0
6.5,56.25
7.0,64.0
7.5,72.25
8.0,81.0
8.5,90.25
9.0,100.0
9.5,110.25
10.0,121.0
10.5,132.25
11.0,144.0
11.5,156.25
12.0,169.0
12.5,182.25
13.0,196.0
13.5,210.25
14.0,225.0
14.5,240.25
15.0,256.0
15.5,272.25
16.0,289.0
16.5,306.25
17.0,324.0
17.5,342.25
18.0,361.0
18.5,380.25
19.0,400.0
19.5,420.25
20.0,441.0
20.5,462.25
21.0,484.0
21.5,506.25
22.0,529.0
22.5,552.25
23.0,576.0
23.5,600.25
24.0,625.0
24.5,650.25
25.0,676.0
25.5,702.25
26.0,729.0
26.5,756.25
27.0,784.0
27.5,812.25
28.0,841.0
28.5,870.25
29.0,900.0
29.5,930.25
30.0,961.0
30.5,992.25
31.0,1024.0
31.5,1056.25
32.0,1089.0
32.5,1122.25
33.0,1156.0
33.5,1190.25
34.0,1225.0
34.5,1260.25
35.0,1296.0
35.5,1332.25
36.0,1369.0
36.5,1406.25
37.0,1444.0
37.5,1482.25
38.0,1521.0
38.5,1560.25
39.0,1600.0
39.5,1640.25
40.0,1681.0
40.5,1722.25
41.0,1764.0
41.5,1806.25
42.0,1849.0
42.5,1892.25
43.0,1936.0
43.5,1980.25
44.0,2025.0
44.5,2070.25
45.0,2116.0
45.5,2162.25
46.0,2209.0
46.5,2256.25
47.0,2304.0
47.5,2352.25
48.0,2401.0
48.5,2450.25
49.0,2500.0
49.5,2550.25
50.0,2601.0
